"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Blastoise","Bite","Skull Bash","9.224","288.5","21.81","2466"
"Shadow Registeel","Lock-On","Focus Blast","8.933","317.7","21.81","2447"
"Registeel","Metal Claw","Flash Cannon","8.533","364.2","21.81","2447"
"Roselia","Poison Jab","Dazzling Gleam","11.003","169.5","21.8","1870"
"Electabuzz","Low Kick","Thunder","10.139","216.7","21.8","2334"
"Alolan Sandslash","Powder Snow","Gyro Ball","9.428","269.3","21.8","2432"
"Suicune","Hidden Power","Water Pulse","8.581","357.3","21.8","2983"
"Hisuian Sneasel","Poison Jab","X-Scissor","10.579","190.3","21.79","2051"
"Pincurchin","Water Gun","Discharge","10.552","192","21.79","1931"
"Quagsire","Water Gun","Earthquake","9.712","246","21.79","1992"
"Porygon2","Hidden Power (Fire)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Fighting)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Water)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Flying)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Grass)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Poison)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Electric)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Ground)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Psychic)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Rock)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Ice)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Bug)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Dragon)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Ghost)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Dark)","Zap Cannon","9.404","271.1","21.79","2711"
"Porygon2","Hidden Power (Steel)","Zap Cannon","9.404","271.1","21.79","2711"
"Tentacruel","Acid","Scald","9.17","292.2","21.79","2422"
"Suicune","Ice Fang","Water Pulse","8.579","357.2","21.79","2983"
"Luxio","Spark","Wild Charge","11.474","148.9","21.78","1486"
"Shadow Beedrill","Infestation","Drill Run","11.082","165.4","21.78","1846"
"Shadow Graveler","Mud Shot","Dig","10.777","179.6","21.78","1897"
"Sunflora","Bullet Seed","Sludge Bomb","10.247","209.1","21.78","2141"
"Gurdurr","Low Kick","Brick Break","10.054","221.4","21.78","2169"
"Shadow Cradily","Bullet Seed","Stone Edge","9.646","250.7","21.78","2211"
"Shadow Amoonguss","Astonish","Foul Play","9.884","232.4","21.77","2140"
"Vanilluxe","Astonish","Signal Beam","9.631","251.4","21.77","2822"
"Hisuian Qwilfish","Poison Jab","Aqua Tail","10.228","209.7","21.76","2136"
"Miltank","Rollout","Body Slam","9.056","302","21.76","2354"
"Mothim","Bug Bite","Aerial Ace","11.115","163","21.75","1815"
"Ivysaur","Razor Leaf","Power Whip","10.468","195.1","21.75","1699"
"Shadow Ninetales","Feint Attack","Heat Wave","9.956","226.6","21.75","2279"
"Dubwool","Double Kick","Wild Charge","9.436","266.4","21.75","2191"
"Politoed","Mud Shot","Return","9.303","278","21.75","2449"
"Shadow Flaaffy","Tackle","Discharge","11.363","152.4","21.74","1521"
"Kricketune","Fury Cutter","Bug Buzz","10.889","172.9","21.74","1653"
"Simipour","Bite","Crunch","10.263","206.6","21.74","2350"
"Simisage","Bite","Crunch","10.263","206.6","21.74","2350"
"Simisear","Bite","Crunch","10.263","206.6","21.74","2350"
"Dusknoir","Astonish","Psychic","9.565","255.4","21.74","2388"
"Mew","Rock Smash","Low Sweep","8.785","329.2","21.74","3265"
"Shadow Gloom","Acid","Petal Blizzard","11.072","164.4","21.73","1681"
"Morpeko","Thunder Shock","Payback","10.921","171.1","21.73","1942"
"Shadow Graveler","Mud Shot","Stone Edge","10.756","179.3","21.73","1897"
"Thievul","Snarl","Night Slash","9.897","229.9","21.73","2136"
"Dragalge","Acid","Aqua Tail","9.494","260.4","21.73","2383"
"Shadow Dragonair","Dragon Breath","Aqua Tail","11.07","164.2","21.72","1780"
"Shadow Dragonair","Dragon Breath","Body Slam","11.07","164.2","21.72","1780"
"Plusle","Quick Attack","Thunderbolt","10.697","181.7","21.72","1778"
"Klefki","Tackle","Play Rough","10.019","221.2","21.72","1949"
"Lairon","Iron Tail","Return","9.699","243.7","21.72","2056"
"Porygon2","Charge Beam","Zap Cannon","9.373","270.2","21.72","2711"
"Calyrex","Pound","Energy Ball","9.32","274.8","21.72","2278"
"Hypno","Confusion","Future Sight","9.223","283.6","21.72","2090"
"Shadow Mawile","Fairy Wind","Iron Head","11.283","154.7","21.71","1634"
"Persian","Scratch","Return","10.444","194.8","21.71","1689"
"Crobat","Bite","Poison Fang","9.393","268","21.71","2646"
"Swanna","Water Gun","Bubble Beam","10.263","205.2","21.7","2088"
"Ninetales","Ember","Solar Beam","9.494","259.3","21.7","2279"
"Shadow Staravia","Quick Attack","Brave Bird","12.152","123.3","21.69","1299"
"Jynx","Pound","Draining Kiss","10.194","209","21.69","2555"
"Starmie","Hidden Power (Fire)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Fighting)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Flying)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Grass)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Poison)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Electric)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Ground)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Rock)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Ice)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Bug)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Dragon)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Ghost)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Dark)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Hidden Power (Steel)","Psybeam","9.855","231.4","21.69","2584"
"Starmie","Tackle","Thunder","9.855","231.4","21.69","2584"
"Shadow Hypno","Zen Headbutt","Focus Blast","9.642","247","21.69","2090"
"Cresselia","Psycho Cut","Moonblast","8.073","420.6","21.69","2857"
"Shadow Liepard","Charm","Gunk Shot","11.556","143.1","21.68","1846"
"Vivillon","Gust","Hurricane","10.713","179.8","21.68","1855"
"Gloom","Acid","Sludge Bomb","10.553","188","21.68","1681"
"Mega Mawile","Ice Fang","Iron Head","9.746","238.5","21.68","2380"
"Rotom Fan","Air Slash","Ominous Wind","9.728","240.1","21.68","2579"
"Alcremie","Tackle","Energy Ball","9.517","256.3","21.68","2682"
"Bellossom","Acid","Return","9.48","259.2","21.68","2281"
"Obstagoon","Lick","Cross Chop","9.051","298","21.68","2652"
"Marshtomp","Water Gun","Surf","10.353","198.8","21.67","1776"
"Machoke","Low Kick","Cross Chop","10.257","204.3","21.67","2031"
"Venomoth","Confusion","Psychic","10.183","208.8","21.67","2082"
"Shadow Dugtrio","Mud Slap","Earthquake","11.895","130.9","21.66","1567"
"Shadow Flaaffy","Charge Beam","Discharge","11.32","151.8","21.66","1521"
"Shadow Manectric","Charge Beam","Psychic Fangs","10.941","168","21.66","2340"
"Hisuian Electrode","Thunder Shock","Energy Ball","9.941","224","21.66","2149"
"Sawsbuck","Take Down","Wild Charge","9.903","226.8","21.66","2416"
"Comfey","Vine Whip","Grass Knot","9.728","239.1","21.66","2115"
"Hypno","Confusion","Shadow Ball","9.197","282.8","21.66","2090"
"Walrein","Powder Snow","Water Pulse","8.965","305.4","21.66","2726"
"Arbok","Acid","Return","10.26","203.3","21.65","1921"
"Shadow Magnemite","Thunder Shock","Thunderbolt","12.676","107.7","21.64","1362"
"Alolan Persian","Feint Attack","Foul Play","10.411","194.2","21.64","1771"
"Mightyena","Bite","Crunch","10.354","197.5","21.64","1926"
"Heatmor","Lick","Thunder Punch","10.073","214.4","21.64","2395"
"Crawdaunt","Waterfall","Vise Grip","10.35","197.3","21.63","2474"
"Shadow Sandslash","Metal Claw","Rock Tomb","10.04","216.2","21.63","2374"
"Tangela","Infestation","Return","9.905","225.1","21.63","2238"
"Plusle","Spark","Discharge","10.649","180.9","21.62","1778"
"Ambipom","Scratch","Low Sweep","10.043","215.8","21.62","2418"
"Cherrim (Overcast Form)","Razor Leaf","Dazzling Gleam","10.004","218.1","21.62","2048"
"Cherrim (Sunshine Form)","Razor Leaf","Dazzling Gleam","10.004","218.1","21.62","2048"
"Sigilyph","Air Slash","Ancient Power","9.757","235.4","21.62","2550"
"Furfrou","Bite","Grass Knot","9.693","239.9","21.62","2111"
"Turtonator","Ember","Dragon Pulse","9.471","257","21.62","2223"
"Clefable","Zen Headbutt","Moonblast","9.366","265.8","21.62","2437"
"Mew","Struggle Bug","Flame Charge","8.74","327.5","21.62","3265"
"Shadow Hypno","Confusion","Fire Punch","9.606","246.1","21.61","2090"
"Archen","Quick Attack","Ancient Power","11.698","135.9","21.6","1842"
"Shadow Gloom","Razor Leaf","Petal Blizzard","11.005","163.4","21.6","1681"
"Bibarel","Water Gun","Hyper Beam","10.361","195.6","21.6","1823"
"Shadow Drapion","Infestation","Fell Stinger","9.814","230.3","21.6","2453"
"Gastrodon","Hidden Power (Fire)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Fighting)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Flying)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Grass)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Poison)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Electric)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Psychic)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Rock)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Ice)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Bug)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Dragon)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Ghost)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Dark)","Earthquake","9.357","265.7","21.6","2324"
"Gastrodon","Hidden Power (Steel)","Earthquake","9.357","265.7","21.6","2324"
"Gourgeist - Super Size","Hex","Fire Blast","9.099","289.2","21.6","2633"
"Mew","Volt Switch","Flame Charge","8.731","327.2","21.6","3265"
"Seadra","Water Gun","Blizzard","10.325","197.3","21.59","2093"
"Shadow Quagsire","Water Gun","Stone Edge","10.073","212.6","21.59","1992"
"Oricorio (Baile Style)","Pound","Air Cutter","9.998","217.6","21.59","2333"
"Oricorio (Pa'u Style)","Pound","Air Cutter","9.998","217.6","21.59","2333"
"Oricorio (Pom-Pom Style)","Pound","Air Cutter","9.998","217.6","21.59","2333"
"Oricorio (Sensu Style)","Pound","Air Cutter","9.998","217.6","21.59","2333"
"Registeel","Metal Claw","Zap Cannon","8.446","360.5","21.59","2447"
"Venomoth","Confusion","Return","10.139","207.9","21.58","2082"
"Piloswine","Powder Snow","Bulldoze","9.606","244.8","21.58","2345"
"Uxie","Confusion","Thunder","8.647","335.2","21.58","2524"
"Swanna","Air Slash","Bubble Beam","10.2","204","21.57","2088"
"Tauros","Zen Headbutt","Iron Head","9.467","255","21.57","2620"
"Shadow Misdreavus","Hex","Ominous Wind","10.681","177.5","21.56","1926"
"Parasect","Bug Bite","X-Scissor","10.329","196.2","21.56","1859"
"Mega Sableye","Feint Attack","Foul Play","9.703","236.4","21.56","1942"
"Zangoose","Fury Cutter","Dig","10.386","192.4","21.55","2418"
"Camerupt","Rock Smash","Earthquake","10.242","200.7","21.55","2193"
"Bronzong","Confusion","Flash Cannon","9.302","267.9","21.55","2239"
"Cradily","Infestation","Rock Slide","9.119","284.4","21.55","2211"
"Cryogonal","Frost Breath","Water Pulse","8.981","297.7","21.55","2798"
"Zangoose","Fury Cutter","Night Slash","10.385","192.3","21.54","2418"
"Lurantis","Fury Cutter","X-Scissor","9.743","232.7","21.54","2398"
"Furfrou","Sucker Punch","Grass Knot","9.658","239.1","21.54","2111"
"Weepinbell","Bullet Seed","Sludge Bomb","11.29","149.2","21.53","1611"
"Shadow Shiftry","Feint Attack","Leaf Tornado","10.53","183.9","21.53","2333"
"Porygon","Tackle","Return","10.36","193.2","21.53","1720"
"Masquerain","Infestation","Silver Wind","10.01","214.3","21.53","2270"
"Weezing","Tackle","Return","9.516","249.2","21.53","2293"
"Shadow Gliscor","Fury Cutter","Sand Tomb","9.458","254.1","21.53","2692"
"Shadow Steelix","Dragon Tail","Crunch","9.016","293.3","21.53","2414"
"Coalossal","Smack Down","Rock Blast","8.674","329.5","21.53","2352"
"Shadow Xatu","Feint Attack","Ominous Wind","10.667","176.8","21.52","2188"
"Shadow Shiftry","Snarl","Leaf Tornado","10.526","183.8","21.52","2333"
"Ivysaur","Vine Whip","Solar Beam","10.355","193","21.52","1699"
"Pidgeot","Air Slash","Hurricane","9.661","237.9","21.52","2129"
"Shadow Sableye","Feint Attack","Foul Play","11.271","149.6","21.51","1476"
"Vivillon","Bug Bite","Aerial Ace","10.627","178.4","21.51","1855"
"Bellossom","Acid","Petal Blizzard","9.407","257.2","21.51","2281"
"Drapion","Bite","Fell Stinger","9.338","263","21.51","2453"
"Nidoqueen","Bite","Stone Edge","9.271","268.5","21.51","2488"
"Blastoise","Bite","Ice Beam","9.097","284.5","21.51","2466"
"Throh","Low Kick","Low Sweep","8.947","298.8","21.51","2562"
"Alomomola","Waterfall","Psychic","8.794","314.5","21.51","2169"
"Watchog","Bite","Return","10.412","189.2","21.5","1819"
"Meowstic - Female","Charm","Shadow Ball","9.663","236.8","21.5","2124"
"Ludicolo","Bubble","Ice Beam","9.417","255.9","21.5","2323"
"Bronzong","Feint Attack","Psyshock","9.281","267.3","21.5","2239"
"Poliwrath","Mud Shot","Scald","9.138","280.2","21.5","2586"
"Kangaskhan","Mud Slap","Power-Up Punch","9.115","282.4","21.5","2586"
"Cryogonal","Ice Shard","Night Slash","8.959","297","21.5","2798"
"Graveler","Mud Slap","Return","10.161","203.2","21.49","1897"
"Masquerain","Air Slash","Air Cutter","9.988","213.9","21.49","2270"
"Shadow Magnemite","Thunder Shock","Discharge","12.583","106.9","21.48","1362"
"Stantler","Zen Headbutt","Stomp","10.227","199","21.48","2164"
"Shelgon","Dragon Breath","Flamethrower","10.032","210.7","21.48","2031"
"Lopunny","Double Kick","Hyper Beam","9.531","246.1","21.48","2059"
"Shadow Arbok","Dragon Tail","Dark Pulse","10.648","175.9","21.47","1921"
"Galvantula","Charge Beam","Thunder","10.342","191.9","21.47","2206"
"Galarian Stunfisk","Mud Shot","Earthquake","8.964","295","21.47","2162"
"Machoke","Karate Chop","Brick Break","10.16","202.4","21.46","2031"
"Hitmonchan","Bullet Punch","Close Combat","9.866","220.6","21.46","2332"
"Toucannon","Rock Smash","Flash Cannon","9.809","224.7","21.46","2689"
"Roselia","Razor Leaf","Dazzling Gleam","10.83","166.8","21.45","1870"
"Shadow Shelgon","Ember","Flamethrower","10.486","183.5","21.45","2031"
"Wigglytuff","Feint Attack","Hyper Beam","9.837","222.2","21.45","1926"
"Archen","Quick Attack","Dragon Claw","11.612","134.9","21.44","1842"
"Shadow Beedrill","Poison Jab","Aerial Ace","10.906","162.8","21.44","1846"
"Roselia","Razor Leaf","Petal Blizzard","10.824","166.7","21.44","1870"
"Vivillon","Gust","Aerial Ace","10.591","177.8","21.44","1855"
"Hitmonchan","Rock Smash","Ice Punch","9.859","220.5","21.44","2332"
"Torkoal","Fire Spin","Solar Beam","9.295","263","21.44","2093"
"Shadow Magnemite","Spark","Thunderbolt","12.552","106.6","21.43","1362"
"Mega Sableye","Shadow Claw","Return","9.643","235","21.43","1942"
"Drapion","Ice Fang","Return","9.303","262","21.43","2453"
"Shadow Nidorino","Poison Sting","Sludge Bomb","11.4","142.1","21.42","1393"
"Shadow Seadra","Dragon Breath","Aurora Beam","10.725","170.8","21.42","2093"
"Seviper","Poison Jab","Poison Fang","10.439","185","21.42","2105"
"Shadow Marowak","Mud Slap","Bone Club","10.158","200.7","21.42","1835"
"Zygarde (10% Forme)","Zen Headbutt","Hyper Beam","10.038","208.2","21.42","2375"
"Komala","Rollout","Bulldoze","9.864","219.3","21.42","2582"
"Swalot","Infestation","Sludge Bomb","9.233","267.6","21.42","1978"
"Shadow Registeel","Lock-On","Flash Cannon","8.772","312","21.42","2447"
"Shadow Porygon","Tackle","Solar Beam","10.784","167.6","21.41","1720"
"Wailord","Zen Headbutt","Hyper Beam","9.515","243.8","21.41","2280"
"Tauros","Zen Headbutt","Horn Attack","9.397","253.1","21.41","2620"
"Fearow","Steel Wing","Aerial Ace","10.35","189.2","21.4","1997"
"Raichu","Volt Switch","Thunder","10.171","199.2","21.4","2182"
"Toucannon","Bullet Seed","Rock Blast","9.781","224","21.4","2689"
"Gliscor","Wing Attack","Night Slash","8.98","289.5","21.4","2692"
"Shadow Arbok","Bite","Sludge Wave","10.612","175.3","21.39","1921"
"Galvantula","Fury Cutter","Lunge","10.308","191.3","21.39","2206"
"Zygarde (10% Forme)","Bite","Crunch","10.023","207.9","21.39","2375"
"Alolan Ninetales","Charm","Psyshock","9.323","258.4","21.39","2309"
"Cofagrigus","Shadow Claw","Dark Pulse","9.214","267.5","21.39","2273"
"Mew","Infestation","Low Sweep","8.644","323.9","21.39","3265"
"Shadow Magnemite","Thunder Shock","Magnet Bomb","12.524","106.4","21.38","1362"
"Swellow","Wing Attack","Aerial Ace","10.625","174.2","21.38","1920"
"Shadow Alolan Graveler","Volt Switch","Stone Edge","10.584","176.4","21.38","1897"
"Shadow Venomoth","Infestation","Poison Fang","10.518","179.7","21.38","2082"
"Swanna","Water Gun","Ice Beam","10.109","202.1","21.38","2088"
"Gurdurr","Poison Jab","Brick Break","9.867","217.3","21.38","2169"
"Ninetales","Feint Attack","Return","9.352","255.4","21.38","2279"
"Cloyster","Frost Breath","Icy Wind","9.245","264.3","21.38","2547"
"Shadow Registeel","Lock-On","Zap Cannon","8.755","311.4","21.38","2447"
"Mightyena","Fire Fang","Return","10.227","195.1","21.37","1926"
"Camerupt","Rock Smash","Return","10.156","199","21.37","2193"
"Pidgeot","Steel Wing","Hurricane","9.594","236.3","21.37","2129"
"Klinklang","Charge Beam","Mirror Shot","9.373","253.2","21.37","2637"
"Arctovish","Water Gun","Dragon Pulse","9.07","279.5","21.37","2447"
"Shadow Mawile","Fire Fang","Iron Head","11.101","152.2","21.36","1634"
"Shadow Marowak","Mud Slap","Rock Slide","10.131","200.2","21.36","1835"
"Cradily","Bullet Seed","Rock Slide","9.038","281.8","21.36","2211"
"Gogoat","Zen Headbutt","Brick Break","9.033","282.6","21.36","2798"
"Hattrem","Confusion","Psychic","10.536","177.5","21.35","1634"
"Seaking","Waterfall","Water Pulse","9.746","224.6","21.35","2162"
"Thievul","Quick Attack","Play Rough","9.724","225.9","21.35","2136"
"Avalugg","Ice Fang","Mirror Coat","8.445","345.2","21.35","3198"
"Qwilfish","Water Gun","Sludge Wave","10.236","193.5","21.34","2051"
"Cherrim (Overcast Form)","Razor Leaf","Hyper Beam","9.877","215.3","21.34","2048"
"Cherrim (Sunshine Form)","Razor Leaf","Hyper Beam","9.877","215.3","21.34","2048"
"Electrode","Volt Switch","Return","9.832","218.1","21.34","2099"
"Sigilyph","Zen Headbutt","Ancient Power","9.63","232.3","21.34","2550"
"Sudowoodo","Counter","Stone Edge","9.565","237.1","21.34","2148"
"Wailord","Zen Headbutt","Blizzard","9.487","243.1","21.34","2280"
"Ninetales","Fire Spin","Psyshock","9.334","255","21.34","2279"
"Steelix","Dragon Tail","Return","8.537","333.2","21.34","2414"
"Shadow Magnemite","Spark","Discharge","12.495","106.1","21.33","1362"
"Cinccino","Charm","Aqua Tail","10.123","199.7","21.33","2242"
"Hitmonchan","Rock Smash","Fire Punch","9.81","219.4","21.33","2332"
"Pidgeot","Wing Attack","Aerial Ace","9.575","235.8","21.33","2129"
"Noctowl","Wing Attack","Shadow Ball","9.234","263","21.33","2024"
"Shadow Bellsprout","Vine Whip","Power Whip","13.262","88.6","21.32","1033"
"Plusle","Quick Attack","Discharge","10.5","178.4","21.32","1778"
"Shadow Venomoth","Confusion","Poison Fang","10.489","179.2","21.32","2082"
"Machoke","Low Kick","Submission","10.091","201","21.32","2031"
"Mandibuzz","Snarl","Shadow Ball","8.519","334.3","21.32","2138"
"Blissey","Zen Headbutt","Psychic","7.5","489.4","21.32","2757"
"Shadow Grimer","Mud Slap","Sludge Bomb","11.347","141.2","21.31","1374"
"Charmeleon","Fire Fang","Flamethrower","10.616","172.4","21.31","1653"
"Seviper","Poison Jab","Crunch","10.386","184.1","21.31","2105"
"Watchog","Bite","Hyper Fang","10.323","187.5","21.31","1819"
"Galarian Weezing","Tackle","Overheat","9.42","246.7","21.31","2293"
"Bellossom","Acid","Dazzling Gleam","9.319","254.8","21.31","2281"
"Skarmory","Steel Wing","Flash Cannon","9.124","271.6","21.31","2108"
"Probopass","Rock Throw","Rock Slide","8.811","301.5","21.31","2080"
"Manectric","Charge Beam","Flame Burst","10.28","189.4","21.3","2340"
"Grotle","Bite","Solar Beam","9.893","212.6","21.3","1890"
"Pyroar","Take Down","Dark Pulse","9.578","234.4","21.3","2767"
"Coalossal","Incinerate","Rock Blast","8.579","325.9","21.3","2352"
"Lapras","Ice Shard","Dragon Pulse","8.561","327.9","21.3","2641"
"Primeape","Karate Chop","Night Slash","10.212","193","21.29","2288"
"Parasect","Fury Cutter","X-Scissor","10.198","193.7","21.29","1859"
"Frogadier","Bubble","Surf","10.955","155.9","21.28","1636"
"Pelipper","Water Gun","Blizzard","9.793","218.4","21.28","2127"
"Vespiquen","Air Slash","Bug Buzz","9.37","249.3","21.28","2005"
"Ninetales","Feint Attack","Fire Blast","9.31","254.3","21.28","2279"
"Gothitelle","Charm","Rock Slide","9.205","262.8","21.28","2419"
"Hypno","Confusion","Return","9.039","277.9","21.28","2090"
"Liepard","Snarl","Gunk Shot","10.833","161","21.27","1846"
"Shadow Golbat","Wing Attack","Air Cutter","10.23","191.3","21.27","1976"
"Girafarig","Double Kick","Thunderbolt","10.16","195.1","21.27","2046"
"Masquerain","Air Slash","Lunge","9.889","211.7","21.27","2270"
"Torterra","Bite","Sand Tomb","8.905","289.8","21.27","2934"
"Regice","Rock Smash","Thunder","8.163","376.3","21.27","3122"
"Drakloak","Astonish","Outrage","10.744","164.6","21.26","1651"
"Shadow Sandslash","Mud Shot","Rock Tomb","9.867","212.5","21.26","2374"
"Huntail","Water Gun","Crunch","9.851","213.5","21.26","2340"
"Mega Mawile","Ice Fang","Return","9.557","233.9","21.26","2380"
"Weezing","Acid","Dark Pulse","9.396","246.1","21.26","2293"
"Dusknoir","Astonish","Return","9.354","249.7","21.26","2388"
"Grumpig","Extrasensory","Mirror Coat","9.171","264.9","21.26","2369"
"Gloom","Razor Leaf","Sludge Bomb","10.343","184.3","21.25","1681"
"Floatzel","Water Gun","Swift","10.171","193.9","21.25","2443"
"Swanna","Air Slash","Ice Beam","10.051","201","21.25","2088"
"Vespiquen","Bug Bite","X-Scissor","9.357","248.9","21.25","2005"
"Dubwool","Double Kick","Body Slam","9.218","260.3","21.25","2191"
"Kangaskhan","Mud Slap","Crunch","9.008","279.1","21.25","2586"
"Shadow Magnemite","Spark","Magnet Bomb","12.442","105.7","21.24","1362"
"Shadow Gligar","Wing Attack","Aerial Ace","9.982","204.5","21.24","1857"
"Gorebyss","Water Gun","Draining Kiss","9.843","213.4","21.24","2494"
"Golduck","Confusion","Cross Chop","9.482","238.8","21.24","2450"
"Weezing","Infestation","Return","9.391","245.9","21.24","2293"
"Gogoat","Rock Smash","Brick Break","8.982","281","21.24","2798"
"Rotom","Thunder Shock","Thunder","10.257","188.2","21.23","2031"
"Shadow Marowak","Mud Slap","Dig","10.07","199","21.23","1835"
"Alolan Graveler","Rock Throw","Stone Edge","10.041","200.8","21.23","1897"
"Graveler","Rock Throw","Stone Edge","10.041","200.8","21.23","1897"
"Golbat","Wing Attack","Return","9.756","218.9","21.23","1976"
"Pidgeot","Air Slash","Aerial Ace","9.532","234.8","21.23","2129"
"Claydol","Confusion","Earth Power","9.167","263.9","21.23","1971"
"Claydol","Mud Slap","Earth Power","9.167","263.9","21.23","1971"
"Mew","Charge Beam","Flame Charge","8.58","321.5","21.23","3265"
"Swellow","Steel Wing","Aerial Ace","10.539","172.8","21.21","1920"
"Dragonair","Dragon Breath","Return","10.327","183.8","21.21","1780"
"Butterfree","Bug Bite","Psychic","10.305","184.8","21.21","1827"
"Mega Mawile","Fire Fang","Power-Up Punch","9.534","233.3","21.21","2380"
"Gourgeist - Small Size","Razor Leaf","Fire Blast","9.381","245.3","21.21","2254"
"Malamar","Psycho Cut","Psybeam","9.317","250.2","21.21","2359"
"Ninetales","Feint Attack","Solar Beam","9.277","253.4","21.21","2279"
"Lickilicky","Zen Headbutt","Solar Beam","8.725","305","21.21","2467"
"Shadow Registeel","Rock Smash","Hyper Beam","8.684","308.9","21.21","2447"
"Shadow Bibarel","Take Down","Surf","10.644","167.4","21.2","1823"
"Hitmonchan","Bullet Punch","Brick Break","9.749","218","21.2","2332"
"Clefable","Charge Beam","Moonblast","9.186","260.6","21.2","2437"
"Shadow Abra","Charge Beam","Psyshock","13.505","81.8","21.19","1342"
"Liepard","Charm","Dark Pulse","10.791","160.4","21.19","1846"
"Zweilous","Bite","Dark Pulse","10.036","199.5","21.19","1839"
"Zweilous","Dragon Breath","Dark Pulse","10.036","199.5","21.19","1839"
"Hypno","Confusion","Psyshock","8.998","276.6","21.19","2090"
"Umbreon","Feint Attack","Foul Play","8.381","342.6","21.19","2137"
"Raboot","Ember","Flamethrower","10.388","179.6","21.18","1824"
"Tyrunt","Dragon Tail","Dragon Claw","10.603","168.6","21.17","1635"
"Minior (Core)","Take Down","Power Gem","10.393","179","21.17","2292"
"Eelektrik","Spark","Thunderbolt","10.291","184.3","21.17","1715"
"Butterfree","Struggle Bug","Bug Buzz","10.288","184.5","21.17","1827"
"Ivysaur","Razor Leaf","Sludge Bomb","10.19","189.9","21.17","1699"
"Octillery","Lock-On","Gunk Shot","9.863","209.3","21.17","2315"
"Slurpuff","Fairy Wind","Flamethrower","9.403","241.6","21.17","2199"
"Mothim","Air Slash","Aerial Ace","10.815","158.6","21.16","1815"
"Shadow Bayleef","Razor Leaf","Grass Knot","10.464","174.9","21.16","1454"
"Kingler","Bubble","Vise Grip","9.783","214.2","21.16","2829"
"Golbat","Bite","Shadow Ball","9.722","218.2","21.16","1976"
"Greedent","Bullet Seed","Body Slam","8.854","288.9","21.16","2370"
"Miltank","Rollout","Stomp","8.805","293.6","21.16","2354"
"Dedenne","Tackle","Discharge","10.154","191.1","21.15","1841"
"Qwilfish","Water Gun","Ice Beam","10.145","191.7","21.15","2051"
"Weepinbell","Acid","Seed Bomb","11.087","146.5","21.14","1611"
"Octillery","Water Gun","Octazooka","9.849","209","21.14","2315"
"Pidgeot","Steel Wing","Aerial Ace","9.489","233.7","21.14","2129"
"Sudowoodo","Rock Throw","Rock Tomb","9.475","234.9","21.14","2148"
